message_id,contact_id,send_date,send_hour,day_of_week,message_type,city_tier,age_group,device_type,signup_channel,tenure_days,delivered,read,responded,converted,opted_out,time_to_read_min,time_to_response_hr
MSG000207,CUST00030,2025-03-15,16,Saturday,Reminder,Tier 2,25-34,Android,Website Signup,35,1,1,1,0,0,288.2,30.72
MSG000208,CUST00030,2025-03-26,4,Wednesday,Festive Offer,Tier 2,25-34,Android,Website Signup,35,1,0,0,0,0,,
MSG000209,CUST00030,2025-04-05,18,Saturday,Festive Offer,Tier 2,25-34,Android,Website Signup,35,1,0,0,0,0,,
MSG000210,CUST00030,2025-04-22,9,Tuesday,Feedback Request,Tier 2,25-34,Android,Website Signup,35,1,1,1,0,0,74.6,0.43
MSG000211,CUST00030,2025-05-04,14,Sunday,Reminder,Tier 2,25-34,Android,Website Signup,35,1,1,1,0,0,141.5,52.63
MSG000212,CUST00030,2025-05-05,16,Monday,Festive Offer,Tier 2,25-34,Android,Website Signup,35,1,0,0,0,0,,
MSG000213,CUST00030,2025-05-10,21,Saturday,Festive Offer,Tier 2,25-34,Android,Website Signup,35,1,0,0,0,0,,
MSG000214,CUST00030,2025-07-11,14,Friday,Feedback Request,Tier 2,25-34,Android,Website Signup,35,1,1,0,0,0,54.8,
MSG000215,CUST00030,2025-08-01,9,Friday,Promotional,Tier 2,25-34,Android,Website Signup,35,1,1,0,0,0,70.5,
MSG000216,CUST00030,2025-08-18,11,Monday,Transactional,Tier 2,25-34,Android,Website Signup,35,1,0,0,0,0,,
MSG000217,CUST00031,2025-03-13,12,Thursday,Reminder,Tier 2,18-24,Android,In-Store,228,1,0,0,0,0,,
MSG000218,CUST00031,2025-04-20,9,Sunday,Reminder,Tier 2,18-24,Android,In-Store,228,1,0,0,0,0,,
MSG000219,CUST00031,2025-05-02,17,Friday,Promotional,Tier 2,18-24,Android,In-Store,228,1,0,0,0,0,,
MSG000220,CUST00031,2025-06-16,12,Monday,Reminder,Tier 2,18-24,Android,In-Store,228,1,0,0,0,0,,
MSG000221,CUST00031,2025-06-29,10,Sunday,Promotional,Tier 2,18-24,Android,In-Store,228,0,0,0,0,0,,
MSG000222,CUST00031,2025-07-06,5,Sunday,Promotional,Tier 2,18-24,Android,In-Store,228,1,0,0,0,0,,
MSG000223,CUST00031,2025-07-16,9,Wednesday,Promotional,Tier 2,18-24,Android,In-Store,228,1,1,1,0,0,98.1,29.01
MSG000224,CUST00031,2025-07-26,11,Saturday,Transactional,Tier 2,18-24,Android,In-Store,228,1,0,0,0,0,,
MSG000225,CUST00031,2025-07-29,14,Tuesday,Promotional,Tier 2,18-24,Android,In-Store,228,1,0,0,0,0,,
MSG000226,CUST00031,2025-08-05,14,Tuesday,Promotional,Tier 2,18-24,Android,In-Store,228,1,1,0,0,0,188.6,
MSG000227,CUST00032,2025-03-07,5,Friday,Promotional,Tier 3,45-54,Android,Website Signup,224,1,0,0,0,0,,
MSG000228,CUST00032,2025-05-31,16,Saturday,Festive Offer,Tier 3,45-54,Android,Website Signup,224,1,0,0,0,0,,
MSG000229,CUST00032,2025-07-20,8,Sunday,Promotional,Tier 3,45-54,Android,Website Signup,224,1,1,0,0,0,166.9,
MSG000230,CUST00032,2025-08-30,12,Saturday,Promotional,Tier 3,45-54,Android,Website Signup,224,1,0,0,0,0,,
MSG000231,CUST00033,2025-03-19,13,Wednesday,Promotional,Tier 1,25-34,iOS,In-Store,413,1,0,0,0,0,,
MSG000232,CUST00033,2025-03-22,9,Saturday,Reminder,Tier 1,25-34,iOS,In-Store,413,1,1,0,0,0,349.3,
MSG000233,CUST00033,2025-03-25,12,Tuesday,Reminder,Tier 1,25-34,iOS,In-Store,413,1,0,0,0,0,,
MSG000234,CUST00033,2025-04-17,9,Thursday,Transactional,Tier 1,25-34,iOS,In-Store,413,1,1,0,0,0,15.0,
MSG000235,CUST00033,2025-05-27,12,Tuesday,Promotional,Tier 1,25-34,iOS,In-Store,413,1,1,1,0,0,169.9,35.41
MSG000236,CUST00033,2025-06-03,16,Tuesday,Promotional,Tier 1,25-34,iOS,In-Store,413,1,0,0,0,0,,
MSG000237,CUST00033,2025-06-06,10,Friday,Transactional,Tier 1,25-34,iOS,In-Store,413,1,1,0,0,0,93.9,
MSG000238,CUST00033,2025-06-11,12,Wednesday,Reminder,Tier 1,25-34,iOS,In-Store,413,1,1,0,0,0,1.9,
MSG000239,CUST00033,2025-06-28,19,Saturday,Transactional,Tier 1,25-34,iOS,In-Store,413,1,1,0,0,0,1.0,
MSG000240,CUST00034,2025-04-21,10,Monday,Feedback Request,Tier 1,25-34,Android,Social Ads,137,1,0,0,0,0,,
MSG000241,CUST00034,2025-04-27,15,Sunday,Reminder,Tier 1,25-34,Android,Social Ads,137,1,1,0,0,0,206.9,
MSG000242,CUST00034,2025-04-29,19,Tuesday,Promotional,Tier 1,25-34,Android,Social Ads,137,1,1,0,0,0,61.1,
MSG000243,CUST00034,2025-05-09,10,Friday,Transactional,Tier 1,25-34,Android,Social Ads,137,1,1,0,0,0,92.9,
MSG000244,CUST00034,2025-05-15,14,Thursday,Promotional,Tier 1,25-34,Android,Social Ads,137,1,1,0,0,0,76.4,
MSG000245,CUST00034,2025-05-19,22,Monday,Reminder,Tier 1,25-34,Android,Social Ads,137,0,0,0,0,0,,
MSG000246,CUST00034,2025-06-07,9,Saturday,Promotional,Tier 1,25-34,Android,Social Ads,137,1,0,0,0,0,,
MSG000247,CUST00034,2025-07-18,13,Friday,Feedback Request,Tier 1,25-34,Android,Social Ads,137,0,0,0,0,0,,
MSG000248,CUST00034,2025-07-28,15,Monday,Promotional,Tier 1,25-34,Android,Social Ads,137,1,1,0,0,0,121.2,
MSG000249,CUST00035,2025-03-29,19,Saturday,Festive Offer,Tier 2,25-34,iOS,Website Signup,770,1,1,0,0,0,4.5,
MSG000250,CUST00035,2025-04-14,1,Monday,Reminder,Tier 2,25-34,iOS,Website Signup,770,1,1,0,0,0,181.9,
MSG000251,CUST00035,2025-04-16,10,Wednesday,Transactional,Tier 2,25-34,iOS,Website Signup,770,1,1,1,1,0,81.0,48.27
MSG000252,CUST00035,2025-07-30,16,Wednesday,Transactional,Tier 2,25-34,iOS,Website Signup,770,1,0,0,0,0,,
MSG000253,CUST00035,2025-08-05,13,Tuesday,Festive Offer,Tier 2,25-34,iOS,Website Signup,770,1,1,1,0,0,44.5,7.85
MSG000254,CUST00035,2025-08-09,8,Saturday,Feedback Request,Tier 2,25-34,iOS,Website Signup,770,1,1,1,1,0,31.9,7.77
MSG000255,CUST00036,2025-04-06,13,Sunday,Feedback Request,Tier 1,18-24,iOS,Referral,701,1,1,0,0,0,77.2,
MSG000256,CUST00036,2025-04-16,20,Wednesday,Promotional,Tier 1,18-24,iOS,Referral,701,1,1,1,0,0,6.2,1.17
MSG000257,CUST00036,2025-06-28,16,Saturday,Festive Offer,Tier 1,18-24,iOS,Referral,701,1,1,1,1,0,48.5,7.46
MSG000258,CUST00037,2025-04-15,18,Tuesday,Festive Offer,Tier 1,55+,Android,Website Signup,729,1,1,0,0,0,4.8,
MSG000259,CUST00037,2025-05-25,13,Sunday,Festive Offer,Tier 1,55+,Android,Website Signup,729,1,0,0,0,0,,
MSG000260,CUST00037,2025-06-18,16,Wednesday,Promotional,Tier 1,55+,Android,Website Signup,729,1,1,0,0,0,174.1,
MSG000261,CUST00037,2025-06-26,20,Thursday,Promotional,Tier 1,55+,Android,Website Signup,729,1,0,0,0,1,,
MSG000262,CUST00038,2025-03-24,12,Monday,Reminder,Tier 2,25-34,iOS,In-Store,186,1,1,0,0,0,111.4,
MSG000263,CUST00038,2025-03-28,7,Friday,Festive Offer,Tier 2,25-34,iOS,In-Store,186,1,0,0,0,0,,
MSG000264,CUST00038,2025-04-12,19,Saturday,Festive Offer,Tier 2,25-34,iOS,In-Store,186,1,1,0,0,0,24.3,
MSG000265,CUST00038,2025-04-16,13,Wednesday,Promotional,Tier 2,25-34,iOS,In-Store,186,1,1,1,1,0,277.8,13.05
MSG000266,CUST00038,2025-05-10,16,Saturday,Festive Offer,Tier 2,25-34,iOS,In-Store,186,0,0,0,0,0,,
MSG000267,CUST00038,2025-08-29,20,Friday,Festive Offer,Tier 2,25-34,iOS,In-Store,186,0,0,0,0,0,,
MSG000268,CUST00039,2025-03-02,11,Sunday,Promotional,Tier 1,35-44,Android,Website Signup,22,1,1,0,0,0,18.9,
MSG000269,CUST00039,2025-03-17,4,Monday,Feedback Request,Tier 1,35-44,Android,Website Signup,22,1,1,0,0,0,16.6,
MSG000270,CUST00039,2025-04-10,15,Thursday,Promotional,Tier 1,35-44,Android,Website Signup,22,0,0,0,0,0,,
MSG000271,CUST00039,2025-04-13,12,Sunday,Festive Offer,Tier 1,35-44,Android,Website Signup,22,1,0,0,0,0,,
MSG000272,CUST00039,2025-04-19,13,Saturday,Feedback Request,Tier 1,35-44,Android,Website Signup,22,1,0,0,0,0,,
MSG000273,CUST00039,2025-05-02,9,Friday,Reminder,Tier 1,35-44,Android,Website Signup,22,1,1,0,0,0,9.3,
MSG000274,CUST00039,2025-06-21,16,Saturday,Transactional,Tier 1,35-44,Android,Website Signup,22,1,1,0,0,0,214.5,
MSG000275,CUST00039,2025-06-21,10,Saturday,Feedback Request,Tier 1,35-44,Android,Website Signup,22,1,0,0,0,0,,
MSG000276,CUST00039,2025-06-30,11,Monday,Promotional,Tier 1,35-44,Android,Website Signup,22,1,1,0,0,0,72.6,
MSG000277,CUST00039,2025-07-21,16,Monday,Festive Offer,Tier 1,35-44,Android,Website Signup,22,1,1,0,0,0,485.6,
MSG000278,CUST00040,2025-03-09,15,Sunday,Feedback Request,Tier 2,18-24,Android,Social Ads,820,0,0,0,0,0,,
MSG000279,CUST00040,2025-03-13,16,Thursday,Promotional,Tier 2,18-24,Android,Social Ads,820,1,1,1,0,0,18.7,9.96
MSG000280,CUST00040,2025-04-04,15,Friday,Festive Offer,Tier 2,18-24,Android,Social Ads,820,1,0,0,0,0,,
MSG000281,CUST00040,2025-05-01,13,Thursday,Promotional,Tier 2,18-24,Android,Social Ads,820,1,0,0,0,0,,
MSG000282,CUST00040,2025-05-28,17,Wednesday,Promotional,Tier 2,18-24,Android,Social Ads,820,1,1,1,0,0,127.0,1.29
MSG000283,CUST00040,2025-08-04,13,Monday,Reminder,Tier 2,18-24,Android,Social Ads,820,1,1,0,0,0,213.6,
MSG000284,CUST00041,2025-07-15,10,Tuesday,Feedback Request,Tier 1,25-34,iOS,Website Signup,267,1,1,0,0,0,9.3,
MSG000285,CUST00041,2025-07-28,20,Monday,Festive Offer,Tier 1,25-34,iOS,Website Signup,267,1,1,1,1,0,2.7,4.61
MSG000286,CUST00041,2025-08-16,20,Saturday,Festive Offer,Tier 1,25-34,iOS,Website Signup,267,1,0,0,0,0,,
MSG000287,CUST00042,2025-03-21,10,Friday,Promotional,Tier 3,25-34,iOS,Social Ads,594,0,0,0,0,0,,
MSG000288,CUST00042,2025-03-25,15,Tuesday,Promotional,Tier 3,25-34,iOS,Social Ads,594,1,1,1,1,0,36.8,1.81
MSG000289,CUST00042,2025-03-31,13,Monday,Festive Offer,Tier 3,25-34,iOS,Social Ads,594,1,1,1,0,0,3.1,0.76
MSG000290,CUST00042,2025-04-13,15,Sunday,Promotional,Tier 3,25-34,iOS,Social Ads,594,1,1,1,1,0,8.1,11.8
MSG000291,CUST00042,2025-04-24,8,Thursday,Festive Offer,Tier 3,25-34,iOS,Social Ads,594,0,0,0,0,0,,
MSG000292,CUST00042,2025-05-03,12,Saturday,Reminder,Tier 3,25-34,iOS,Social Ads,594,1,1,1,1,0,43.7,7.2
MSG000293,CUST00042,2025-05-20,14,Tuesday,Promotional,Tier 3,25-34,iOS,Social Ads,594,1,1,1,1,0,176.1,0.46
MSG000294,CUST00042,2025-05-28,17,Wednesday,Festive Offer,Tier 3,25-34,iOS,Social Ads,594,1,0,0,0,0,,
MSG000295,CUST00042,2025-06-28,5,Saturday,Transactional,Tier 3,25-34,iOS,Social Ads,594,1,1,0,0,0,29.2,
MSG000296,CUST00043,2025-03-05,11,Wednesday,Feedback Request,Tier 2,45-54,Android,Social Ads,819,1,1,0,0,0,20.9,
MSG000297,CUST00043,2025-03-09,14,Sunday,Promotional,Tier 2,45-54,Android,Social Ads,819,1,0,0,0,0,,
MSG000298,CUST00043,2025-03-12,16,Wednesday,Reminder,Tier 2,45-54,Android,Social Ads,819,1,1,0,0,0,110.5,
MSG000299,CUST00043,2025-04-07,10,Monday,Promotional,Tier 2,45-54,Android,Social Ads,819,1,1,1,1,0,172.6,10.9
MSG000300,CUST00043,2025-04-29,2,Tuesday,Promotional,Tier 2,45-54,Android,Social Ads,819,1,0,0,0,0,,
MSG000301,CUST00043,2025-05-01,12,Thursday,Festive Offer,Tier 2,45-54,Android,Social Ads,819,1,1,1,0,0,102.8,4.08
MSG000302,CUST00043,2025-05-26,10,Monday,Reminder,Tier 2,45-54,Android,Social Ads,819,1,1,1,0,0,93.2,12.38
MSG000303,CUST00043,2025-06-19,11,Thursday,Promotional,Tier 2,45-54,Android,Social Ads,819,1,0,0,0,0,,
MSG000304,CUST00044,2025-05-06,15,Tuesday,Promotional,Tier 1,25-34,Android,Referral,42,1,1,0,0,0,262.1,
MSG000305,CUST00044,2025-06-02,8,Monday,Promotional,Tier 1,25-34,Android,Referral,42,0,0,0,0,0,,
MSG000306,CUST00044,2025-07-12,12,Saturday,Transactional,Tier 1,25-34,Android,Referral,42,1,0,0,0,1,,
MSG000307,CUST00045,2025-03-14,13,Friday,Reminder,Tier 3,25-34,Android,In-Store,14,1,1,0,0,0,129.4,
MSG000308,CUST00045,2025-04-15,13,Tuesday,Reminder,Tier 3,25-34,Android,In-Store,14,1,0,0,0,0,,
MSG000309,CUST00045,2025-07-13,12,Sunday,Reminder,Tier 3,25-34,Android,In-Store,14,1,0,0,0,0,,
MSG000310,CUST00045,2025-07-15,19,Tuesday,Promotional,Tier 3,25-34,Android,In-Store,14,1,0,0,0,0,,
MSG000311,CUST00045,2025-08-04,15,Monday,Promotional,Tier 3,25-34,Android,In-Store,14,1,0,0,0,0,,
MSG000312,CUST00045,2025-08-06,11,Wednesday,Reminder,Tier 3,25-34,Android,In-Store,14,1,1,1,1,0,44.1,56.64
MSG000313,CUST00045,2025-08-18,9,Monday,Promotional,Tier 3,25-34,Android,In-Store,14,1,0,0,0,0,,
MSG000314,CUST00046,2025-03-04,6,Tuesday,Promotional,Tier 3,18-24,iOS,In-Store,14,1,1,0,0,0,5.8,
MSG000315,CUST00046,2025-07-03,11,Thursday,Feedback Request,Tier 3,18-24,iOS,In-Store,14,1,1,1,0,0,452.7,1.76
MSG000316,CUST00046,2025-07-07,10,Monday,Reminder,Tier 3,18-24,iOS,In-Store,14,0,0,0,0,0,,
MSG000317,CUST00046,2025-07-18,8,Friday,Transactional,Tier 3,18-24,iOS,In-Store,14,1,1,0,0,0,165.0,
MSG000318,CUST00047,2025-04-22,6,Tuesday,Festive Offer,Tier 1,25-34,Android,Social Ads,149,1,0,0,0,0,,
MSG000319,CUST00047,2025-04-24,14,Thursday,Festive Offer,Tier 1,25-34,Android,Social Ads,149,1,0,0,0,0,,
MSG000320,CUST00047,2025-06-12,8,Thursday,Festive Offer,Tier 1,25-34,Android,Social Ads,149,1,0,0,0,0,,
MSG000321,CUST00047,2025-08-19,13,Tuesday,Reminder,Tier 1,25-34,Android,Social Ads,149,1,0,0,0,0,,
MSG000322,CUST00048,2025-04-21,6,Monday,Festive Offer,Tier 1,25-34,Android,Website Signup,55,1,0,0,0,0,,
MSG000323,CUST00048,2025-05-19,10,Monday,Promotional,Tier 1,25-34,Android,Website Signup,55,1,0,0,0,0,,
MSG000324,CUST00048,2025-05-25,13,Sunday,Transactional,Tier 1,25-34,Android,Website Signup,55,1,1,1,1,0,44.4,1.64
MSG000325,CUST00048,2025-06-04,20,Wednesday,Promotional,Tier 1,25-34,Android,Website Signup,55,1,1,1,0,0,23.5,68.34
MSG000326,CUST00048,2025-06-21,7,Saturday,Promotional,Tier 1,25-34,Android,Website Signup,55,1,0,0,0,0,,
MSG000327,CUST00048,2025-07-04,18,Friday,Festive Offer,Tier 1,25-34,Android,Website Signup,55,1,1,0,0,0,14.9,
MSG000328,CUST00048,2025-07-28,4,Monday,Feedback Request,Tier 1,25-34,Android,Website Signup,55,1,1,1,0,0,125.0,14.86
MSG000329,CUST00049,2025-03-03,11,Monday,Transactional,Tier 2,25-34,Android,Referral,739,1,1,1,0,0,117.1,9.46
MSG000330,CUST00049,2025-03-26,15,Wednesday,Festive Offer,Tier 2,25-34,Android,Referral,739,1,1,1,1,0,43.9,3.68
MSG000331,CUST00049,2025-04-03,10,Thursday,Promotional,Tier 2,25-34,Android,Referral,739,1,0,0,0,0,,
MSG000332,CUST00049,2025-04-11,14,Friday,Transactional,Tier 2,25-34,Android,Referral,739,1,1,1,1,0,197.1,1.86
MSG000333,CUST00049,2025-04-12,14,Saturday,Promotional,Tier 2,25-34,Android,Referral,739,1,0,0,0,0,,
MSG000334,CUST00049,2025-04-26,18,Saturday,Reminder,Tier 2,25-34,Android,Referral,739,1,0,0,0,0,,
MSG000335,CUST00049,2025-04-26,16,Saturday,Promotional,Tier 2,25-34,Android,Referral,739,1,1,0,0,0,196.6,
MSG000336,CUST00049,2025-05-28,19,Wednesday,Promotional,Tier 2,25-34,Android,Referral,739,1,1,1,1,0,116.9,23.65
MSG000337,CUST00049,2025-06-13,12,Friday,Reminder,Tier 2,25-34,Android,Referral,739,1,1,0,0,0,14.6,
MSG000338,CUST00049,2025-07-19,18,Saturday,Transactional,Tier 2,25-34,Android,Referral,739,1,1,1,1,0,48.6,1.53
MSG000339,CUST00049,2025-08-02,12,Saturday,Transactional,Tier 2,25-34,Android,Referral,739,1,0,0,0,0,,
MSG000340,CUST00049,2025-08-31,7,Sunday,Reminder,Tier 2,25-34,Android,Referral,739,1,1,0,0,0,152.0,
MSG000341,CUST00050,2025-03-07,14,Friday,Reminder,Tier 1,18-24,Android,Website Signup,549,1,1,0,0,0,131.9,
MSG000342,CUST00050,2025-04-24,22,Thursday,Promotional,Tier 1,18-24,Android,Website Signup,549,1,1,0,0,0,10.7,
MSG000343,CUST00050,2025-04-29,12,Tuesday,Reminder,Tier 1,18-24,Android,Website Signup,549,1,1,0,0,0,5.3,
MSG000344,CUST00050,2025-05-03,16,Saturday,Promotional,Tier 1,18-24,Android,Website Signup,549,1,1,0,0,0,159.4,
MSG000345,CUST00050,2025-05-08,17,Thursday,Festive Offer,Tier 1,18-24,Android,Website Signup,549,0,0,0,0,0,,
MSG000346,CUST00050,2025-06-21,9,Saturday,Festive Offer,Tier 1,18-24,Android,Website Signup,549,1,0,0,0,0,,
MSG000347,CUST00050,2025-07-15,12,Tuesday,Transactional,Tier 1,18-24,Android,Website Signup,549,1,1,0,0,0,224.2,
MSG000348,CUST00050,2025-07-23,19,Wednesday,Promotional,Tier 1,18-24,Android,Website Signup,549,0,0,0,0,0,,
MSG000349,CUST00050,2025-07-24,7,Thursday,Feedback Request,Tier 1,18-24,Android,Website Signup,549,1,0,0,0,0,,
MSG000350,CUST00050,2025-08-09,14,Saturday,Festive Offer,Tier 1,18-24,Android,Website Signup,549,1,1,0,0,0,307.1,
MSG000351,CUST00050,2025-08-18,13,Monday,Festive Offer,Tier 1,18-24,Android,Website Signup,549,1,1,0,0,0,30.4,
MSG000352,CUST00051,2025-05-08,14,Thursday,Promotional,Tier 1,35-44,Android,Referral,882,1,0,0,0,0,,
MSG000353,CUST00051,2025-05-25,8,Sunday,Promotional,Tier 1,35-44,Android,Referral,882,1,1,0,0,0,120.0,
MSG000354,CUST00051,2025-06-25,8,Wednesday,Feedback Request,Tier 1,35-44,Android,Referral,882,1,0,0,0,0,,
MSG000355,CUST00051,2025-07-17,15,Thursday,Festive Offer,Tier 1,35-44,Android,Referral,882,0,0,0,0,0,,
MSG000356,CUST00052,2025-03-16,12,Sunday,Promotional,Tier 1,45-54,iOS,Website Signup,723,0,0,0,0,0,,
MSG000357,CUST00052,2025-04-21,9,Monday,Promotional,Tier 1,45-54,iOS,Website Signup,723,1,1,1,0,0,3.5,10.64
MSG000358,CUST00052,2025-05-30,15,Friday,Festive Offer,Tier 1,45-54,iOS,Website Signup,723,1,1,1,1,0,156.0,0.76
MSG000359,CUST00052,2025-06-30,15,Monday,Reminder,Tier 1,45-54,iOS,Website Signup,723,1,1,1,0,0,123.8,23.36
MSG000360,CUST00052,2025-08-01,15,Friday,Promotional,Tier 1,45-54,iOS,Website Signup,723,1,0,0,0,0,,
MSG000361,CUST00052,2025-08-19,19,Tuesday,Promotional,Tier 1,45-54,iOS,Website Signup,723,1,1,0,0,0,76.7,
MSG000362,CUST00053,2025-04-22,18,Tuesday,Transactional,Tier 2,18-24,Android,Referral,867,1,1,1,1,0,52.6,6.06
MSG000363,CUST00053,2025-04-23,7,Wednesday,Reminder,Tier 2,18-24,Android,Referral,867,1,1,1,1,0,13.4,6.52
MSG000364,CUST00053,2025-05-16,14,Friday,Promotional,Tier 2,18-24,Android,Referral,867,1,1,1,1,0,26.0,21.06
MSG000365,CUST00053,2025-05-26,14,Monday,Promotional,Tier 2,18-24,Android,Referral,867,1,1,1,1,0,38.7,2.18
MSG000366,CUST00053,2025-06-13,13,Friday,Transactional,Tier 2,18-24,Android,Referral,867,1,1,0,0,0,160.6,
MSG000367,CUST00053,2025-06-23,12,Monday,Transactional,Tier 2,18-24,Android,Referral,867,1,0,0,0,0,,
MSG000368,CUST00053,2025-07-23,10,Wednesday,Promotional,Tier 2,18-24,Android,Referral,867,1,0,0,0,0,,
MSG000369,CUST00054,2025-03-08,12,Saturday,Festive Offer,Tier 2,25-34,Android,Referral,222,1,0,0,0,0,,
MSG000370,CUST00054,2025-03-25,11,Tuesday,Festive Offer,Tier 2,25-34,Android,Referral,222,1,1,1,1,0,102.0,4.04
MSG000371,CUST00054,2025-03-27,8,Thursday,Transactional,Tier 2,25-34,Android,Referral,222,1,0,0,0,0,,
MSG000372,CUST00054,2025-04-05,14,Saturday,Reminder,Tier 2,25-34,Android,Referral,222,1,0,0,0,0,,
MSG000373,CUST00054,2025-04-27,12,Sunday,Reminder,Tier 2,25-34,Android,Referral,222,1,1,0,0,0,20.3,
MSG000374,CUST00054,2025-05-13,9,Tuesday,Promotional,Tier 2,25-34,Android,Referral,222,1,1,0,0,0,24.4,
MSG000375,CUST00054,2025-05-18,13,Sunday,Promotional,Tier 2,25-34,Android,Referral,222,1,0,0,0,0,,
MSG000376,CUST00054,2025-06-09,19,Monday,Festive Offer,Tier 2,25-34,Android,Referral,222,0,0,0,0,0,,
MSG000377,CUST00054,2025-07-14,19,Monday,Feedback Request,Tier 2,25-34,Android,Referral,222,1,1,1,1,0,36.4,15.11
MSG000378,CUST00054,2025-08-08,8,Friday,Promotional,Tier 2,25-34,Android,Referral,222,1,1,1,1,0,228.4,0.71
MSG000379,CUST00055,2025-03-10,3,Monday,Promotional,Tier 2,18-24,Android,Referral,266,1,1,0,0,0,253.4,
MSG000380,CUST00055,2025-03-17,6,Monday,Promotional,Tier 2,18-24,Android,Referral,266,1,1,1,0,0,104.4,21.83
MSG000381,CUST00055,2025-03-26,11,Wednesday,Promotional,Tier 2,18-24,Android,Referral,266,1,1,0,0,0,26.6,
MSG000382,CUST00055,2025-05-08,14,Thursday,Promotional,Tier 2,18-24,Android,Referral,266,1,0,0,0,0,,
MSG000383,CUST00055,2025-05-21,16,Wednesday,Transactional,Tier 2,18-24,Android,Referral,266,1,1,0,0,0,95.3,
MSG000384,CUST00055,2025-05-30,14,Friday,Feedback Request,Tier 2,18-24,Android,Referral,266,1,0,0,0,0,,
MSG000385,CUST00055,2025-06-18,13,Wednesday,Transactional,Tier 2,18-24,Android,Referral,266,1,1,0,0,0,112.6,
MSG000386,CUST00055,2025-06-28,5,Saturday,Festive Offer,Tier 2,18-24,Android,Referral,266,1,0,0,0,0,,
MSG000387,CUST00055,2025-06-29,11,Sunday,Promotional,Tier 2,18-24,Android,Referral,266,1,0,0,0,0,,
MSG000388,CUST00055,2025-07-05,9,Saturday,Reminder,Tier 2,18-24,Android,Referral,266,1,1,0,0,0,70.7,
MSG000389,CUST00055,2025-08-26,8,Tuesday,Feedback Request,Tier 2,18-24,Android,Referral,266,1,1,0,0,0,9.9,
MSG000390,CUST00056,2025-04-03,14,Thursday,Promotional,Tier 2,35-44,Android,Referral,765,1,1,0,0,0,24.3,
MSG000391,CUST00056,2025-05-12,17,Monday,Promotional,Tier 2,35-44,Android,Referral,765,1,0,0,0,0,,
MSG000392,CUST00056,2025-05-14,15,Wednesday,Reminder,Tier 2,35-44,Android,Referral,765,1,0,0,0,0,,
MSG000393,CUST00056,2025-05-17,14,Saturday,Promotional,Tier 2,35-44,Android,Referral,765,1,1,0,0,0,36.8,
MSG000394,CUST00056,2025-06-19,9,Thursday,Reminder,Tier 2,35-44,Android,Referral,765,1,1,0,0,0,67.6,
MSG000395,CUST00056,2025-06-28,19,Saturday,Reminder,Tier 2,35-44,Android,Referral,765,1,1,1,0,0,77.6,23.07
MSG000396,CUST00056,2025-07-20,10,Sunday,Transactional,Tier 2,35-44,Android,Referral,765,1,1,1,0,0,381.3,7.33
MSG000397,CUST00056,2025-08-10,12,Sunday,Festive Offer,Tier 2,35-44,Android,Referral,765,1,1,1,0,0,7.3,63.78
MSG000398,CUST00057,2025-03-01,14,Saturday,Promotional,Tier 2,18-24,iOS,In-Store,227,1,1,0,0,0,130.2,
MSG000399,CUST00057,2025-03-07,15,Friday,Transactional,Tier 2,18-24,iOS,In-Store,227,1,1,1,1,0,120.4,11.05
MSG000400,CUST00057,2025-03-10,12,Monday,Transactional,Tier 2,18-24,iOS,In-Store,227,1,1,0,0,0,235.2,
MSG000401,CUST00057,2025-05-10,2,Saturday,Festive Offer,Tier 2,18-24,iOS,In-Store,227,1,1,0,0,0,77.7,
MSG000402,CUST00057,2025-05-11,17,Sunday,Festive Offer,Tier 2,18-24,iOS,In-Store,227,1,1,0,0,0,78.4,
MSG000403,CUST00057,2025-05-27,9,Tuesday,Promotional,Tier 2,18-24,iOS,In-Store,227,1,0,0,0,0,,
MSG000404,CUST00057,2025-06-03,14,Tuesday,Festive Offer,Tier 2,18-24,iOS,In-Store,227,1,0,0,0,0,,
MSG000405,CUST00057,2025-06-06,11,Friday,Promotional,Tier 2,18-24,iOS,In-Store,227,1,0,0,0,0,,
MSG000406,CUST00057,2025-07-25,15,Friday,Festive Offer,Tier 2,18-24,iOS,In-Store,227,1,1,1,1,0,193.8,11.21
MSG000407,CUST00058,2025-03-16,9,Sunday,Promotional,Tier 2,35-44,Android,In-Store,60,1,1,1,0,0,13.9,15.28
MSG000408,CUST00058,2025-04-04,14,Friday,Promotional,Tier 2,35-44,Android,In-Store,60,0,0,0,0,0,,
MSG000409,CUST00058,2025-07-03,18,Thursday,Promotional,Tier 2,35-44,Android,In-Store,60,1,1,0,0,0,107.8,
MSG000410,CUST00059,2025-03-25,12,Tuesday,Festive Offer,Tier 1,35-44,Android,Referral,605,1,1,1,1,0,131.5,6.38
MSG000411,CUST00059,2025-05-24,17,Saturday,Festive Offer,Tier 1,35-44,Android,Referral,605,1,0,0,0,0,,
MSG000412,CUST00059,2025-05-27,12,Tuesday,Feedback Request,Tier 1,35-44,Android,Referral,605,1,0,0,0,0,,
MSG000413,CUST00059,2025-06-02,17,Monday,Transactional,Tier 1,35-44,Android,Referral,605,1,0,0,0,0,,
MSG000414,CUST00059,2025-06-25,8,Wednesday,Festive Offer,Tier 1,35-44,Android,Referral,605,1,1,1,1,0,131.6,5.4
MSG000415,CUST00059,2025-06-29,12,Sunday,Reminder,Tier 1,35-44,Android,Referral,605,1,0,0,0,0,,
